event_type,event_date,user_id,project_name,organization,action,commits_count,files_changed,is_public,language
MergeEvent,2023-08-31,maria_rodriguez,uber/jaeger,uber,opened,,,True,Go
MergeEvent,2023-08-14,chris_lee,facebook/relay,facebook,opened,,,False,Go
PullRequestEvent,2023-08-06,jen_liu,apache/airflow,apache,closed,1.0,87.0,True,TypeScript
IssuesEvent,2023-10-09,john_taylor,microsoft/TypeScript,microsoft,merged,,,True,JavaScript
PullRequestEvent,2023-09-28,jen_liu,netflix/archaius,netflix,merged,45.0,42.0,True,Python
CreateEvent,2023-10-18,emma_garcia,facebook/yoga,facebook,approved,,,False,JavaScript
IssuesEvent,2023-04-22,emma_garcia,elastic/apm-server,elastic,updated,,,True,Rust
CommitEvent,2023-10-15,rachel_kim,microsoft/PowerToys,microsoft,updated,7.0,24.0,True,C++
CommitEvent,2023-12-03,david_martinez,vercel/pkg,vercel,merged,11.0,5.0,True,Python
MergeEvent,2023-08-20,maria_rodriguez,microsoft/vscode,microsoft,created,,,True,C++
CommitEvent,2023-01-21,chris_lee,hashicorp/packer,hashicorp,opened,12.0,19.0,True,Java
CommitEvent,2023-01-06,maria_rodriguez,vercel/hyper,vercel,commented,11.0,21.0,False,TypeScript
CommitEvent,2023-05-25,maria_rodriguez,hashicorp/terraform,hashicorp,merged,5.0,24.0,True,C++
CommitEvent,2023-09-26,rachel_kim,netflix/archaius,netflix,opened,12.0,1.0,True,Go
PushEvent,2023-06-30,anna_wilson,airbnb/enzyme,airbnb,merged,3.0,6.0,True,C++
PullRequestEvent,2023-05-02,emma_garcia,facebook/relay,facebook,approved,20.0,49.0,True,Go
CommitEvent,2023-10-14,chris_lee,uber/pyro,uber,updated,6.0,19.0,True,Go
MergeEvent,2023-04-29,emma_garcia,uber/react-map-gl,uber,created,,,False,C++
CreateEvent,2023-12-02,john_taylor,google/kubernetes,google,opened,,,True,TypeScript
IssuesEvent,2023-06-08,anna_wilson,facebook/yoga,facebook,approved,,,True,JavaScript
MergeEvent,2023-01-24,sophie_duval,hashicorp/terraform,hashicorp,closed,,,False,Rust
IssuesEvent,2023-05-12,rachel_kim,netflix/archaius,netflix,closed,,,True,JavaScript
MergeEvent,2023-01-10,mike_johnson,airbnb/lottie,airbnb,reviewed,,,True,Java
CreateEvent,2023-03-12,rachel_kim,microsoft/dotnet,microsoft,approved,,,True,C++
MergeEvent,2023-02-12,jen_liu,uber/jaeger,uber,created,,,False,TypeScript
MergeEvent,2023-02-17,jen_liu,vercel/micro,vercel,updated,,,True,C++
PullRequestEvent,2023-05-31,chris_lee,hashicorp/vault,hashicorp,opened,1.0,7.0,True,Java
MergeEvent,2023-05-30,james_smith,vercel/turbo,vercel,commented,,,True,Rust
CreateEvent,2023-03-18,nina_patel,uber/react-map-gl,uber,merged,,,True,Rust
MergeEvent,2023-09-13,rachel_kim,airbnb/lottie,airbnb,approved,,,False,C++
MergeEvent,2023-07-17,emma_garcia,netflix/ribbon,netflix,reviewed,,,False,Go
MergeEvent,2023-03-31,dan_murphy,apache/spark,apache,closed,,,True,C++
MergeEvent,2023-12-12,nina_patel,hashicorp/vagrant,hashicorp,approved,,,False,Rust
PullRequestEvent,2023-01-10,emma_garcia,facebook/docusaurus,facebook,merged,31.0,40.0,False,Rust
PullRequestEvent,2023-01-23,alex_kumar,apache/flink,apache,opened,10.0,60.0,True,JavaScript
IssuesEvent,2023-08-29,anna_wilson,facebook/react,facebook,commented,,,True,TypeScript
CommitEvent,2023-05-09,nina_patel,elastic/beats,elastic,reviewed,5.0,7.0,True,Java
IssuesEvent,2023-08-16,olivia_zhang,apache/kafka,apache,reviewed,,,True,JavaScript
CommitEvent,2023-12-03,sarah_chen,facebook/yoga,facebook,closed,5.0,20.0,True,TypeScript
PushEvent,2023-10-17,dan_murphy,facebook/jest,facebook,merged,1.0,5.0,True,JavaScript
PushEvent,2023-05-03,nina_patel,netflix/conductor,netflix,commented,15.0,12.0,True,JavaScript
PullRequestEvent,2023-04-04,chris_lee,hashicorp/vagrant,hashicorp,created,9.0,69.0,True,JavaScript
IssuesEvent,2023-11-12,david_martinez,google/chromium,google,approved,,,False,Python
CreateEvent,2023-01-08,james_smith,vercel/pkg,vercel,approved,,,True,Rust
IssuesEvent,2023-07-17,tom_nelson,elastic/logstash,elastic,created,,,True,JavaScript
CreateEvent,2023-11-27,robert_brown,elastic/kibana,elastic,commented,,,False,Go
PullRequestEvent,2023-01-13,james_smith,uber/cadence,uber,merged,42.0,93.0,True,JavaScript
IssuesEvent,2023-11-07,maria_rodriguez,microsoft/TypeScript,microsoft,created,,,True,C++
CommitEvent,2023-03-25,maria_rodriguez,vercel/hyper,vercel,merged,14.0,1.0,False,TypeScript
CreateEvent,2023-02-05,rachel_kim,google/angular,google,updated,,,False,Java
CreateEvent,2023-11-12,chris_lee,vercel/turbo,vercel,created,,,True,TypeScript
IssuesEvent,2023-03-22,sophie_duval,elastic/elasticsearch,elastic,created,,,False,C++
MergeEvent,2023-05-24,emma_garcia,facebook/jest,facebook,updated,,,True,Python
CreateEvent,2023-04-10,lisa_anderson,airbnb/visx,airbnb,reviewed,,,True,TypeScript
MergeEvent,2023-08-19,mark_davis,hashicorp/vagrant,hashicorp,closed,,,True,Go
CreateEvent,2023-02-10,maria_rodriguez,facebook/jest,facebook,merged,,,True,TypeScript
PullRequestEvent,2023-10-18,james_smith,vercel/pkg,vercel,reviewed,23.0,99.0,False,JavaScript
IssuesEvent,2023-06-17,mike_johnson,vercel/hyper,vercel,updated,,,True,TypeScript
CreateEvent,2023-05-11,james_smith,uber/jaeger,uber,reviewed,,,False,Python
CreateEvent,2023-07-22,olivia_zhang,google/flutter,google,created,,,True,Go
PullRequestEvent,2023-06-02,dan_murphy,elastic/apm-server,elastic,updated,46.0,46.0,False,TypeScript
PushEvent,2023-11-21,anna_wilson,vercel/turbo,vercel,merged,13.0,8.0,False,TypeScript
IssuesEvent,2023-05-13,david_martinez,microsoft/vscode,microsoft,approved,,,True,Python
CreateEvent,2023-07-01,robert_brown,netflix/zuul,netflix,approved,,,True,Java
IssuesEvent,2023-11-17,nina_patel,elastic/elasticsearch,elastic,created,,,True,C++
PullRequestEvent,2023-11-27,olivia_zhang,google/tensorflow,google,closed,45.0,91.0,True,TypeScript
PushEvent,2023-05-03,sophie_duval,uber/kraken,uber,approved,1.0,20.0,True,TypeScript
CommitEvent,2023-08-22,tom_nelson,google/tensorflow,google,opened,11.0,8.0,True,Python
PullRequestEvent,2023-11-17,emma_garcia,uber/jaeger,uber,reviewed,49.0,52.0,True,Java
CreateEvent,2023-03-17,nina_patel,airbnb/enzyme,airbnb,merged,,,True,TypeScript
PullRequestEvent,2023-09-25,tom_nelson,facebook/docusaurus,facebook,created,41.0,51.0,True,Go
PushEvent,2023-06-06,tom_nelson,netflix/conductor,netflix,updated,4.0,6.0,False,Java
CommitEvent,2023-04-18,mike_johnson,microsoft/TypeScript,microsoft,created,9.0,12.0,True,Python
PullRequestEvent,2023-06-30,maria_rodriguez,netflix/eureka,netflix,closed,36.0,65.0,True,JavaScript
IssuesEvent,2023-12-29,chris_lee,uber/jaeger,uber,merged,,,True,JavaScript
MergeEvent,2023-12-06,olivia_zhang,vercel/pkg,vercel,commented,,,True,JavaScript
PushEvent,2023-10-19,tom_nelson,airbnb/mavericks,airbnb,created,2.0,25.0,True,Java
CommitEvent,2023-08-02,alex_kumar,microsoft/dotnet,microsoft,merged,10.0,4.0,False,JavaScript
CommitEvent,2023-10-15,alex_kumar,google/flutter,google,created,13.0,11.0,True,TypeScript
CommitEvent,2023-02-04,nina_patel,airbnb/mavericks,airbnb,merged,4.0,8.0,True,JavaScript
PushEvent,2023-08-20,dan_murphy,airbnb/lottie,airbnb,approved,12.0,4.0,True,TypeScript
MergeEvent,2023-08-14,john_taylor,hashicorp/consul,hashicorp,opened,,,False,TypeScript
MergeEvent,2023-03-29,rachel_kim,apache/kafka,apache,reviewed,,,True,JavaScript
CommitEvent,2023-01-01,john_taylor,vercel/swr,vercel,updated,3.0,12.0,True,Python
MergeEvent,2023-07-25,john_taylor,microsoft/terminal,microsoft,created,,,True,Go
CreateEvent,2023-08-16,mark_davis,vercel/next.js,vercel,updated,,,True,JavaScript
MergeEvent,2023-04-01,mark_davis,uber/kraken,uber,opened,,,False,Java
MergeEvent,2023-02-14,sophie_duval,vercel/hyper,vercel,opened,,,False,Java
IssuesEvent,2023-10-19,jen_liu,google/kubernetes,google,reviewed,,,False,Python
CommitEvent,2023-05-09,james_smith,microsoft/terminal,microsoft,merged,7.0,23.0,True,Go
PushEvent,2023-10-25,david_martinez,microsoft/dotnet,microsoft,reviewed,12.0,9.0,True,C++
PushEvent,2023-03-15,james_smith,uber/pyro,uber,created,8.0,1.0,True,C++
CommitEvent,2023-04-26,anna_wilson,uber/pyro,uber,approved,14.0,24.0,False,TypeScript
PullRequestEvent,2023-09-30,emma_garcia,vercel/turbo,vercel,opened,26.0,14.0,True,C++
PullRequestEvent,2023-05-05,tom_nelson,vercel/micro,vercel,reviewed,40.0,64.0,True,JavaScript
PullRequestEvent,2023-08-01,david_martinez,facebook/relay,facebook,commented,25.0,57.0,True,Go
PushEvent,2023-07-08,jen_liu,microsoft/vscode,microsoft,commented,13.0,2.0,True,Go
PullRequestEvent,2023-09-19,olivia_zhang,microsoft/playwright,microsoft,approved,37.0,58.0,True,JavaScript
CreateEvent,2023-07-08,mike_johnson,facebook/react-native,facebook,updated,,,True,Go
CommitEvent,2023-08-06,emma_garcia,facebook/react-native,facebook,opened,12.0,24.0,True,Python
CreateEvent,2023-09-21,sophie_duval,vercel/turbo,vercel,opened,,,True,JavaScript
PushEvent,2023-12-19,robert_brown,hashicorp/packer,hashicorp,closed,11.0,2.0,True,Java
CreateEvent,2023-05-25,sophie_duval,airbnb/enzyme,airbnb,opened,,,True,Go
MergeEvent,2023-03-18,mike_johnson,google/angular,google,closed,,,True,Rust
CommitEvent,2023-10-16,emma_garcia,microsoft/playwright,microsoft,closed,6.0,6.0,False,C++
CreateEvent,2023-09-22,anna_wilson,netflix/conductor,netflix,updated,,,True,C++
PullRequestEvent,2023-09-29,mike_johnson,vercel/micro,vercel,created,26.0,85.0,True,Rust
IssuesEvent,2023-01-06,sarah_chen,vercel/micro,vercel,closed,,,True,Java
IssuesEvent,2023-10-14,tom_nelson,elastic/beats,elastic,closed,,,True,Go
PushEvent,2023-01-10,rachel_kim,facebook/docusaurus,facebook,merged,2.0,22.0,True,TypeScript
PullRequestEvent,2023-05-17,john_taylor,vercel/swr,vercel,closed,14.0,26.0,True,C++
CreateEvent,2023-11-21,david_martinez,vercel/micro,vercel,commented,,,True,Rust
PushEvent,2023-03-01,nina_patel,netflix/conductor,netflix,commented,9.0,15.0,False,JavaScript
MergeEvent,2023-06-20,rachel_kim,microsoft/playwright,microsoft,opened,,,True,JavaScript
CreateEvent,2023-06-05,alex_kumar,google/kubernetes,google,merged,,,False,Rust
CreateEvent,2023-09-01,sarah_chen,vercel/next.js,vercel,commented,,,True,Go
CreateEvent,2023-12-06,robert_brown,uber/pyro,uber,created,,,True,Java
MergeEvent,2023-01-10,alex_kumar,apache/spark,apache,opened,,,False,Java
PullRequestEvent,2023-03-13,mike_johnson,uber/jaeger,uber,opened,13.0,37.0,False,TypeScript
IssuesEvent,2023-07-17,john_taylor,google/kubernetes,google,updated,,,True,C++
MergeEvent,2023-05-14,mike_johnson,airbnb/javascript,airbnb,closed,,,True,Python
MergeEvent,2023-10-26,tom_nelson,vercel/hyper,vercel,closed,,,False,Python
CreateEvent,2023-12-21,robert_brown,vercel/hyper,vercel,updated,,,True,JavaScript
MergeEvent,2023-01-24,jen_liu,microsoft/PowerToys,microsoft,closed,,,True,Rust
CommitEvent,2023-09-06,mike_johnson,elastic/elasticsearch,elastic,opened,2.0,5.0,True,Go
IssuesEvent,2023-01-04,maria_rodriguez,airbnb/lottie,airbnb,created,,,True,Python
PullRequestEvent,2023-12-03,olivia_zhang,vercel/hyper,vercel,commented,22.0,55.0,True,TypeScript
CommitEvent,2023-07-01,emma_garcia,uber/kraken,uber,updated,4.0,16.0,True,C++
IssuesEvent,2023-02-21,robert_brown,uber/kraken,uber,updated,,,False,Python
IssuesEvent,2023-07-02,olivia_zhang,microsoft/TypeScript,microsoft,updated,,,True,Java
CommitEvent,2023-09-28,anna_wilson,uber/pyro,uber,approved,12.0,13.0,True,Rust
CommitEvent,2023-10-16,robert_brown,hashicorp/terraform,hashicorp,merged,7.0,7.0,True,Go
CommitEvent,2023-05-08,rachel_kim,facebook/jest,facebook,reviewed,9.0,5.0,True,TypeScript
CreateEvent,2023-02-20,alex_kumar,uber/jaeger,uber,commented,,,True,Java
CreateEvent,2023-09-24,sarah_chen,netflix/zuul,netflix,closed,,,True,Python
CommitEvent,2023-12-08,emma_garcia,vercel/turbo,vercel,commented,15.0,20.0,True,JavaScript
IssuesEvent,2023-09-11,sarah_chen,microsoft/terminal,microsoft,approved,,,False,JavaScript
CreateEvent,2023-09-11,emma_garcia,vercel/next.js,vercel,closed,,,True,C++
CommitEvent,2023-09-27,olivia_zhang,airbnb/visx,airbnb,reviewed,15.0,7.0,True,Rust
PullRequestEvent,2023-03-11,alex_kumar,vercel/turbo,vercel,approved,21.0,5.0,False,TypeScript
IssuesEvent,2023-12-20,alex_kumar,airbnb/mavericks,airbnb,merged,,,True,TypeScript
PushEvent,2023-12-04,chris_lee,uber/react-map-gl,uber,commented,5.0,3.0,True,Rust
IssuesEvent,2023-06-11,james_smith,uber/pyro,uber,updated,,,True,JavaScript
PushEvent,2023-11-29,chris_lee,uber/kraken,uber,reviewed,4.0,5.0,True,JavaScript
CreateEvent,2023-11-11,lisa_anderson,elastic/apm-server,elastic,opened,,,False,Go
PushEvent,2023-12-08,anna_wilson,airbnb/mavericks,airbnb,merged,12.0,25.0,True,Java
CommitEvent,2023-12-16,tom_nelson,vercel/turbo,vercel,closed,6.0,3.0,True,C++
MergeEvent,2023-10-11,robert_brown,apache/flink,apache,opened,,,True,Rust
PushEvent,2023-12-15,mike_johnson,facebook/react-native,facebook,approved,6.0,18.0,True,C++
PushEvent,2023-08-11,olivia_zhang,elastic/logstash,elastic,updated,15.0,1.0,True,Java
MergeEvent,2023-03-05,james_smith,netflix/zuul,netflix,closed,,,True,Rust
PullRequestEvent,2023-10-26,sophie_duval,uber/kraken,uber,opened,27.0,16.0,True,Python
CommitEvent,2023-01-30,nina_patel,vercel/next.js,vercel,opened,2.0,20.0,True,JavaScript
PullRequestEvent,2023-04-23,mike_johnson,apache/cassandra,apache,merged,27.0,51.0,True,Rust
CreateEvent,2023-07-01,chris_lee,elastic/elasticsearch,elastic,updated,,,False,Python
PushEvent,2023-04-05,sarah_chen,elastic/beats,elastic,reviewed,1.0,20.0,True,JavaScript
PullRequestEvent,2023-10-22,mike_johnson,microsoft/PowerToys,microsoft,closed,36.0,77.0,False,Java
CreateEvent,2023-06-22,robert_brown,netflix/ribbon,netflix,reviewed,,,True,TypeScript
CreateEvent,2023-03-08,emma_garcia,netflix/eureka,netflix,opened,,,False,JavaScript
PushEvent,2023-02-04,james_smith,vercel/next.js,vercel,approved,4.0,11.0,True,TypeScript
CommitEvent,2023-10-31,david_martinez,hashicorp/packer,hashicorp,approved,10.0,9.0,False,C++
CreateEvent,2023-10-04,mark_davis,vercel/turbo,vercel,created,,,True,Python
PushEvent,2023-01-13,anna_wilson,netflix/hystrix,netflix,approved,7.0,18.0,True,TypeScript
CreateEvent,2023-11-28,emma_garcia,netflix/hystrix,netflix,commented,,,False,Go
CreateEvent,2023-07-03,david_martinez,uber/kraken,uber,created,,,True,Go
CommitEvent,2023-11-06,nina_patel,facebook/docusaurus,facebook,closed,8.0,15.0,False,Python
CommitEvent,2023-01-14,chris_lee,apache/flink,apache,updated,5.0,11.0,True,Go
IssuesEvent,2023-05-25,emma_garcia,facebook/jest,facebook,updated,,,True,Java
MergeEvent,2023-09-05,john_taylor,apache/kafka,apache,commented,,,True,Python
MergeEvent,2023-07-13,emma_garcia,elastic/logstash,elastic,merged,,,True,JavaScript
CommitEvent,2023-04-15,jen_liu,elastic/kibana,elastic,approved,1.0,5.0,False,Java
MergeEvent,2023-05-07,john_taylor,google/angular,google,created,,,True,TypeScript
PullRequestEvent,2023-07-10,anna_wilson,vercel/pkg,vercel,closed,46.0,25.0,True,Go
CreateEvent,2023-08-25,james_smith,apache/spark,apache,commented,,,False,C++
MergeEvent,2023-09-25,chris_lee,hashicorp/terraform,hashicorp,updated,,,True,Java
IssuesEvent,2023-01-12,rachel_kim,vercel/pkg,vercel,commented,,,False,TypeScript
MergeEvent,2023-05-03,maria_rodriguez,facebook/docusaurus,facebook,created,,,True,Python
PushEvent,2023-11-12,john_taylor,hashicorp/vault,hashicorp,merged,4.0,22.0,True,Go
IssuesEvent,2023-08-18,dan_murphy,airbnb/enzyme,airbnb,updated,,,True,Go
MergeEvent,2023-11-30,mike_johnson,google/chromium,google,created,,,True,Go
IssuesEvent,2023-09-12,dan_murphy,vercel/swr,vercel,approved,,,True,Python
CommitEvent,2023-11-10,sarah_chen,google/kubernetes,google,commented,15.0,5.0,True,Python
CommitEvent,2023-07-28,chris_lee,uber/jaeger,uber,commented,11.0,14.0,False,TypeScript
PushEvent,2023-09-17,sophie_duval,netflix/archaius,netflix,approved,4.0,1.0,False,Java
CommitEvent,2023-08-20,nina_patel,netflix/zuul,netflix,commented,2.0,22.0,True,C++
PushEvent,2023-05-15,rachel_kim,facebook/yoga,facebook,reviewed,6.0,24.0,True,Go
MergeEvent,2023-06-10,olivia_zhang,uber/kraken,uber,reviewed,,,True,TypeScript
CreateEvent,2023-04-13,robert_brown,apache/flink,apache,closed,,,True,TypeScript
PushEvent,2023-06-16,anna_wilson,google/go,google,opened,13.0,25.0,True,C++
MergeEvent,2023-04-14,sophie_duval,uber/react-map-gl,uber,closed,,,True,Go
PushEvent,2023-01-15,chris_lee,uber/pyro,uber,merged,3.0,12.0,True,Java
IssuesEvent,2023-04-13,tom_nelson,elastic/apm-server,elastic,created,,,True,TypeScript
PushEvent,2023-11-13,sophie_duval,netflix/conductor,netflix,commented,13.0,21.0,True,C++
CommitEvent,2023-01-07,maria_rodriguez,apache/spark,apache,commented,2.0,8.0,False,C++
CommitEvent,2023-09-04,sarah_chen,google/kubernetes,google,closed,9.0,8.0,True,JavaScript
CommitEvent,2023-11-30,tom_nelson,google/flutter,google,updated,1.0,13.0,True,TypeScript
CreateEvent,2023-07-24,robert_brown,hashicorp/vagrant,hashicorp,opened,,,False,Java
MergeEvent,2023-01-09,olivia_zhang,airbnb/mavericks,airbnb,updated,,,True,Python
CreateEvent,2023-12-21,nina_patel,vercel/hyper,vercel,created,,,True,Rust
MergeEvent,2023-07-29,chris_lee,uber/react-map-gl,uber,approved,,,True,Go
MergeEvent,2023-12-30,dan_murphy,hashicorp/terraform,hashicorp,updated,,,False,JavaScript
CommitEvent,2023-10-05,jen_liu,netflix/conductor,netflix,reviewed,15.0,21.0,True,Python
PullRequestEvent,2023-03-24,nina_patel,apache/flink,apache,reviewed,33.0,73.0,True,Java
IssuesEvent,2023-02-08,sophie_duval,facebook/yoga,facebook,closed,,,True,TypeScript
PullRequestEvent,2023-03-28,mark_davis,elastic/elasticsearch,elastic,updated,10.0,8.0,False,C++
PullRequestEvent,2023-10-17,lisa_anderson,apache/airflow,apache,approved,38.0,18.0,False,Go
PullRequestEvent,2023-11-04,anna_wilson,elastic/elasticsearch,elastic,updated,28.0,62.0,False,Java
MergeEvent,2023-04-04,chris_lee,vercel/micro,vercel,opened,,,True,Java
CommitEvent,2023-03-10,nina_patel,elastic/apm-server,elastic,created,7.0,21.0,True,C++
IssuesEvent,2023-06-11,alex_kumar,airbnb/lottie,airbnb,opened,,,True,Rust
IssuesEvent,2023-03-28,dan_murphy,google/tensorflow,google,reviewed,,,True,JavaScript
PushEvent,2023-07-18,john_taylor,hashicorp/nomad,hashicorp,closed,6.0,2.0,False,Rust
PushEvent,2023-08-10,sophie_duval,airbnb/javascript,airbnb,approved,9.0,5.0,False,C++
CommitEvent,2023-06-24,chris_lee,airbnb/javascript,airbnb,approved,2.0,15.0,True,C++
IssuesEvent,2023-08-25,nina_patel,microsoft/dotnet,microsoft,reviewed,,,True,Rust
MergeEvent,2023-12-15,jen_liu,netflix/archaius,netflix,created,,,True,C++
MergeEvent,2023-07-28,dan_murphy,vercel/micro,vercel,created,,,False,Go
CommitEvent,2023-04-10,james_smith,hashicorp/consul,hashicorp,updated,2.0,15.0,False,TypeScript
CreateEvent,2023-06-24,lisa_anderson,netflix/archaius,netflix,closed,,,True,C++
CreateEvent,2023-11-30,david_martinez,elastic/kibana,elastic,commented,,,True,TypeScript
MergeEvent,2023-09-20,john_taylor,hashicorp/vagrant,hashicorp,updated,,,True,C++
IssuesEvent,2023-07-12,mike_johnson,uber/react-map-gl,uber,merged,,,False,Go
CommitEvent,2023-06-27,emma_garcia,uber/jaeger,uber,updated,15.0,10.0,False,JavaScript
PushEvent,2023-08-07,alex_kumar,vercel/pkg,vercel,reviewed,11.0,10.0,True,TypeScript
PushEvent,2023-05-30,chris_lee,facebook/yoga,facebook,closed,15.0,3.0,True,TypeScript
PullRequestEvent,2023-02-07,emma_garcia,facebook/docusaurus,facebook,updated,45.0,83.0,True,TypeScript
IssuesEvent,2023-12-18,rachel_kim,hashicorp/nomad,hashicorp,created,,,False,JavaScript
PullRequestEvent,2023-08-10,rachel_kim,google/flutter,google,closed,22.0,54.0,False,Python
PushEvent,2023-12-11,olivia_zhang,uber/cadence,uber,created,9.0,9.0,True,Rust
IssuesEvent,2023-02-12,olivia_zhang,airbnb/mavericks,airbnb,commented,,,True,C++
CommitEvent,2023-01-22,nina_patel,facebook/docusaurus,facebook,commented,10.0,5.0,True,C++
PushEvent,2023-03-21,emma_garcia,facebook/yoga,facebook,created,1.0,12.0,True,Python
CommitEvent,2023-03-23,alex_kumar,facebook/react,facebook,opened,1.0,22.0,True,Go
PullRequestEvent,2023-03-18,lisa_anderson,elastic/elasticsearch,elastic,commented,9.0,38.0,True,Rust
CreateEvent,2023-02-06,tom_nelson,microsoft/terminal,microsoft,reviewed,,,True,TypeScript
CreateEvent,2023-07-08,mike_johnson,microsoft/TypeScript,microsoft,opened,,,True,C++
PullRequestEvent,2023-12-19,james_smith,vercel/swr,vercel,updated,12.0,51.0,True,TypeScript
MergeEvent,2023-06-13,rachel_kim,airbnb/visx,airbnb,approved,,,True,TypeScript
PushEvent,2023-07-05,chris_lee,uber/pyro,uber,commented,7.0,7.0,True,TypeScript
MergeEvent,2023-11-09,nina_patel,google/chromium,google,merged,,,True,C++
PullRequestEvent,2023-09-15,robert_brown,airbnb/enzyme,airbnb,closed,31.0,67.0,True,Java
MergeEvent,2023-12-14,mike_johnson,facebook/relay,facebook,opened,,,True,JavaScript
PushEvent,2023-07-06,mark_davis,elastic/logstash,elastic,merged,7.0,14.0,True,Rust
PullRequestEvent,2023-08-03,sophie_duval,microsoft/TypeScript,microsoft,approved,34.0,27.0,True,Go
IssuesEvent,2023-08-31,alex_kumar,airbnb/visx,airbnb,approved,,,True,C++
MergeEvent,2023-02-08,jen_liu,airbnb/mavericks,airbnb,updated,,,True,JavaScript
CreateEvent,2023-07-05,mike_johnson,google/go,google,opened,,,False,Java
PullRequestEvent,2023-01-09,tom_nelson,google/go,google,updated,5.0,47.0,True,Python
MergeEvent,2023-06-28,dan_murphy,apache/cassandra,apache,commented,,,True,Rust
IssuesEvent,2023-04-07,maria_rodriguez,microsoft/vscode,microsoft,closed,,,True,JavaScript
PushEvent,2023-11-30,robert_brown,apache/cassandra,apache,closed,6.0,1.0,True,Java
MergeEvent,2023-07-08,dan_murphy,netflix/archaius,netflix,closed,,,True,Python
CommitEvent,2023-03-19,alex_kumar,microsoft/vscode,microsoft,opened,7.0,20.0,False,Go
CreateEvent,2023-12-26,sophie_duval,airbnb/enzyme,airbnb,reviewed,,,True,Java
CreateEvent,2023-12-17,robert_brown,elastic/logstash,elastic,opened,,,True,Java
CommitEvent,2023-11-08,lisa_anderson,airbnb/lottie,airbnb,reviewed,15.0,20.0,True,Rust
PushEvent,2023-10-26,mark_davis,hashicorp/vault,hashicorp,opened,2.0,17.0,True,Python
CommitEvent,2023-12-15,sarah_chen,google/kubernetes,google,reviewed,12.0,12.0,False,Go
MergeEvent,2023-06-27,mark_davis,apache/kafka,apache,opened,,,True,JavaScript
CreateEvent,2023-04-29,james_smith,elastic/apm-server,elastic,merged,,,False,JavaScript
PullRequestEvent,2023-09-10,mike_johnson,netflix/zuul,netflix,merged,36.0,2.0,False,JavaScript
IssuesEvent,2023-10-04,john_taylor,microsoft/dotnet,microsoft,created,,,True,C++
CreateEvent,2023-08-01,alex_kumar,uber/kraken,uber,approved,,,True,Rust
IssuesEvent,2023-06-12,jen_liu,apache/cassandra,apache,commented,,,True,C++
IssuesEvent,2023-10-30,olivia_zhang,uber/jaeger,uber,updated,,,False,JavaScript
CreateEvent,2023-06-26,mark_davis,google/angular,google,reviewed,,,True,Rust
CommitEvent,2023-10-27,olivia_zhang,apache/spark,apache,created,15.0,7.0,False,Python
IssuesEvent,2023-07-18,anna_wilson,hashicorp/consul,hashicorp,created,,,True,Python
CreateEvent,2023-09-29,sophie_duval,elastic/elasticsearch,elastic,commented,,,True,C++
CommitEvent,2023-10-22,mark_davis,google/tensorflow,google,merged,2.0,22.0,False,Python
CommitEvent,2023-05-25,emma_garcia,uber/kraken,uber,opened,7.0,16.0,False,Rust
PushEvent,2023-03-23,james_smith,facebook/yoga,facebook,updated,15.0,5.0,True,C++
IssuesEvent,2023-08-23,olivia_zhang,apache/kafka,apache,created,,,False,Rust
CommitEvent,2023-04-06,jen_liu,google/kubernetes,google,reviewed,6.0,25.0,True,Rust
CreateEvent,2023-03-04,rachel_kim,google/chromium,google,closed,,,True,Rust
CreateEvent,2023-03-05,emma_garcia,airbnb/mavericks,airbnb,closed,,,True,Rust
MergeEvent,2023-05-12,james_smith,uber/react-map-gl,uber,opened,,,False,C++
CommitEvent,2023-03-23,alex_kumar,netflix/zuul,netflix,approved,1.0,21.0,True,Java
CommitEvent,2023-05-31,sophie_duval,airbnb/javascript,airbnb,created,5.0,11.0,True,TypeScript
PullRequestEvent,2023-08-20,chris_lee,facebook/yoga,facebook,created,6.0,66.0,False,Rust
CommitEvent,2023-09-26,mike_johnson,google/flutter,google,merged,7.0,7.0,True,Java
MergeEvent,2023-08-13,dan_murphy,apache/cassandra,apache,approved,,,True,Java
MergeEvent,2023-11-03,john_taylor,vercel/next.js,vercel,approved,,,True,Java
MergeEvent,2023-10-28,mark_davis,hashicorp/terraform,hashicorp,closed,,,True,JavaScript
MergeEvent,2023-03-01,sarah_chen,hashicorp/terraform,hashicorp,closed,,,True,TypeScript
MergeEvent,2023-11-28,nina_patel,microsoft/terminal,microsoft,updated,,,False,Python
MergeEvent,2023-07-04,anna_wilson,hashicorp/packer,hashicorp,closed,,,False,Rust
CommitEvent,2023-04-21,nina_patel,google/angular,google,reviewed,12.0,20.0,True,Rust
IssuesEvent,2023-12-15,lisa_anderson,airbnb/lottie,airbnb,merged,,,True,Rust
CreateEvent,2023-08-13,james_smith,vercel/swr,vercel,approved,,,True,Rust
CreateEvent,2023-03-15,robert_brown,vercel/micro,vercel,created,,,True,Python
MergeEvent,2023-12-17,sarah_chen,netflix/hystrix,netflix,merged,,,True,Java
IssuesEvent,2023-05-05,chris_lee,uber/pyro,uber,opened,,,True,C++
PushEvent,2023-05-25,jen_liu,hashicorp/packer,hashicorp,updated,2.0,14.0,True,Python
IssuesEvent,2023-06-22,alex_kumar,apache/kafka,apache,opened,,,False,TypeScript
PushEvent,2023-12-11,tom_nelson,elastic/apm-server,elastic,approved,13.0,20.0,False,TypeScript
